adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
False,"[12, 28, 878]",299536,en,Avengers: Infinity War,174.705,2018-04-25,Avengers: Infinity War,8.248,28644
False,"[18, 35]",42269,it,C'eravamo tanto amati,16.357,1974-12-21,We All Loved Each Other So Much,8.244,505
False,"[16, 28, 878]",618344,en,Justice League Dark: Apokolips War,32.872,2020-05-05,Justice League Dark: Apokolips War,8.243,1399
False,"[16, 12, 14, 35, 28, 10751]",315162,en,Puss in Boots: The Last Wish,184.929,2022-12-07,Puss in Boots: The Last Wish,8.243,7111
False,"[18, 36]",490132,en,Green Book,59.445,2018-11-16,Green Book,8.241,11005
False,"[16, 35, 10749, 18, 14]",572154,ja,青春ブタ野郎はゆめみる少女の夢を見ない,33.913,2019-06-15,Rascal Does Not Dream of a Dreaming Girl,8.2,493
False,[18],265177,fr,Mommy,25.584,2014-09-19,Mommy,8.238,2621
False,"[16, 18, 10749]",504253,ja,君の膵臓をたべたい,52.216,2018-09-01,I Want to Eat Your Pancreas,8.235,1449
False,"[28, 16, 12, 14, 53]",635302,ja,劇場版「鬼滅の刃」無限列車編,97.209,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.232,3645
False,"[53, 18, 10749]",290098,ko,아가씨,59.079,2016-06-01,The Handmaiden,8.229,3489
False,"[28, 18]",361743,en,Top Gun: Maverick,152.387,2022-05-24,Top Gun: Maverick,8.226,8390
False,"[16, 10751, 18, 14]",110420,ja,おおかみこどもの雨と雪,26.886,2012-07-21,Wolf Children,8.219,2179
False,"[35, 18, 10402]",654299,es,Como caído del cielo,12.094,2019-12-24,Out of the Clear Blue Sky,8.218,331
False,"[18, 53, 10752]",16869,en,Inglourious Basterds,86.079,2009-08-02,Inglourious Basterds,8.217,21440
False,"[28, 18, 12]",98,en,Gladiator,62.789,2000-05-04,Gladiator,8.216,17639
False,"[27, 53]",694,en,The Shining,59.501,1980-05-23,The Shining,8.215,16768
False,"[10751, 16, 10402, 12]",354912,en,Coco,130.218,2017-10-27,Coco,8.214,18634
False,"[18, 9648, 80]",37257,en,Witness for the Prosecution,25.786,1957-12-17,Witness for the Prosecution,8.213,1291
False,"[35, 18, 10749]",20334,en,The Shop Around the Corner,26.897,1940-01-12,The Shop Around the Corner,8.213,674
False,"[18, 36, 10752]",857,en,Saving Private Ryan,70.297,1998-07-24,Saving Private Ryan,8.213,15152
False,"[28, 878]",603,en,The Matrix,98.35,1999-03-31,The Matrix,8.213,24634
False,"[18, 10749]",522924,en,The Art of Racing in the Rain,37.316,2019-08-08,The Art of Racing in the Rain,8.211,1393
False,"[878, 80]",185,en,A Clockwork Orange,43.818,1971-12-19,A Clockwork Orange,8.207,12362
False,"[16, 28, 14]",810693,ja,劇場版 呪術廻戦 0,85.51,2021-12-24,Jujutsu Kaisen 0,8.2,1245
False,"[16, 10751, 12, 14]",441130,en,Wolfwalkers,33.397,2020-10-26,Wolfwalkers,8.206,1093
False,"[35, 18, 10749]",284,en,The Apartment,36.596,1960-06-21,The Apartment,8.206,2133
False,"[10770, 16, 12, 35, 14, 10402]",537061,en,Steven Universe: The Movie,31.486,2019-09-02,Steven Universe: The Movie,8.205,803
False,"[18, 9648, 878]",1124,en,The Prestige,51.468,2006-10-19,The Prestige,8.204,15294
False,"[12, 28, 878]",11,en,Star Wars,111.212,1977-05-25,Star Wars,8.204,19788
False,"[36, 18]",556574,en,Hamilton,21.585,2020-07-03,Hamilton,8.203,1300
False,[18],50014,en,The Help,48.814,2011-08-09,The Help,8.202,7808
False,"[18, 53, 9648]",11324,en,Shutter Island,73.124,2010-02-14,Shutter Island,8.202,23085
False,[18],5156,it,Ladri di biciclette,35.27,1948-11-24,Bicycle Thieves,8.202,2245
False,"[18, 35]",24188,it,Il sorpasso,12.943,1962-12-05,Il Sorpasso,8.2,671
False,"[18, 14, 16]",610892,ja,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,37.538,2019-09-06,Violet Evergarden: Eternity and the Auto Memory Doll,8.198,339
False,[18],797,sv,Persona,22.594,1966-10-18,Persona,8.196,2013
False,"[14, 18]",490,sv,Det sjunde inseglet,25.714,1957-02-16,The Seventh Seal,8.195,2806
False,"[10749, 18]",851644,ko,20세기 소녀,84.937,2022-10-06,20th Century Girl,8.192,590
False,"[18, 36, 10752]",324786,en,Hacksaw Ridge,114.571,2016-10-07,Hacksaw Ridge,8.192,13143
False,"[18, 80, 53]",629,en,The Usual Suspects,39.435,1995-07-19,The Usual Suspects,8.187,9947
False,"[18, 53]",26451,it,Indagine su un cittadino al di sopra di ogni sospetto,12.114,1970-10-16,Investigation of a Citizen Above Suspicion,8.186,733
False,"[35, 18]",10098,en,The Kid,18.743,1921-01-21,The Kid,8.185,1972
False,"[9648, 53]",77,en,Memento,39.49,2000-10-11,Memento,8.185,14225
False,"[16, 28, 14, 12]",592350,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,36.889,2019-12-20,My Hero Academia: Heroes Rising,8.183,1109
False,"[878, 12]",313106,en,Doctor Who: The Day of the Doctor,17.668,2013-11-23,Doctor Who: The Day of the Doctor,8.183,723
False,[35],620683,pt,Minha Mãe é uma Peça 3: O Filme,7.097,2019-12-26,My Mom Is a Character 3,8.2,461
False,"[27, 10402, 9648]",92060,en,Michael Jackson's Thriller,15.248,1983-11-14,Michael Jackson's Thriller,8.18,637
False,"[18, 10752]",20941,es,Voces inocentes,18.684,2005-01-28,Innocent Voices,8.18,449
False,"[12, 16, 18, 10751, 14, 10749]",476292,ja,さよならの朝に約束の花をかざろう,51.779,2018-02-24,Maquia: When the Promised Flower Blooms,8.178,589
False,[18],575813,zh,少年的你,22.141,2019-10-25,Better Days,8.177,390
False,"[18, 37]",68718,en,Django Unchained,71.489,2012-12-25,Django Unchained,8.177,25377
False,"[878, 18]",1398,ru,Сталкер,24.459,1979-05-25,Stalker,8.172,1991
False,"[18, 10749]",133919,sv,Scener ur ett äktenskap,15.721,1974-09-15,Scenes from a Marriage,8.171,320
False,"[9648, 10749, 53]",426,en,Vertigo,35.12,1958-05-28,Vertigo,8.168,5445
False,[18],422,it,8½,24.333,1963-02-14,8½,8.168,2152
False,"[18, 53, 80]",1422,en,The Departed,55.735,2006-10-04,The Departed,8.167,14273
False,"[28, 80, 18]",111,en,Scarface,86.447,1983-12-09,Scarface,8.167,11219
False,"[28, 12, 14]",791373,en,Zack Snyder's Justice League,85.346,2021-03-18,Zack Snyder's Justice League,8.165,9601
False,"[80, 53, 18]",475557,en,Joker,99.892,2019-10-01,Joker,8.164,24258
False,[18],18148,ja,東京物語,25.462,1953-11-03,Tokyo Story,8.164,978
False,"[18, 10749]",289,en,Casablanca,31.84,1943-01-15,Casablanca,8.163,5144
False,"[35, 10749]",872,en,Singin' in the Rain,29.111,1952-04-09,Singin' in the Rain,8.162,2971
False,"[12, 10751]",606856,en,Togo,23.119,2019-12-20,Togo,8.2,1917
False,"[80, 18]",103,en,Taxi Driver,73.367,1976-02-09,Taxi Driver,8.154,11616
False,[18],517814,ar,کفرناحوم,25.732,2018-09-20,Capernaum,8.152,1602
False,"[10751, 16]",399106,en,Piper,14.648,2016-06-16,Piper,8.152,1562
False,"[10749, 18]",398818,en,Call Me by Your Name,46.685,2017-09-01,Call Me by Your Name,8.152,11651
False,[18],489,en,Good Will Hunting,84.688,1997-12-05,Good Will Hunting,8.152,11690
False,"[27, 878]",348,en,Alien,119.696,1979-05-25,Alien,8.149,13750
False,[18],666,pt,Central do Brasil,12.376,1998-11-20,Central Station,8.148,825
False,"[10749, 18]",762975,en,Purple Hearts,41.446,2022-07-29,Purple Hearts,8.146,2301
